system:index,ID,kommune,.geo
5268,140556.0,Lavangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
5275,69324.0,Tromsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
5282,968403.0,Sørfold,"{""type"":""MultiPoint"",""coordinates"":[]}"
5284,756825.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
5287,970909.0,Os,"{""type"":""MultiPoint"",""coordinates"":[]}"
5313,421207.0,Høylandet,"{""type"":""MultiPoint"",""coordinates"":[]}"
5339,104212.0,Verdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5368,529283.0,Holtålen,"{""type"":""MultiPoint"",""coordinates"":[]}"
5414,813288.0,Bardu,"{""type"":""MultiPoint"",""coordinates"":[]}"
5453,668732.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
5476,558671.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
5485,235072.0,Båtsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
5538,881951.0,Aurland,"{""type"":""MultiPoint"",""coordinates"":[]}"
5560,357129.0,Hammerfest,"{""type"":""MultiPoint"",""coordinates"":[]}"
5589,642997.0,Sogndal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5612,947692.0,Tinn,"{""type"":""MultiPoint"",""coordinates"":[]}"
5614,641290.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
5618,405477.0,Bodø,"{""type"":""MultiPoint"",""coordinates"":[]}"
5627,71027.0,Molde,"{""type"":""MultiPoint"",""coordinates"":[]}"
5653,385543.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
5676,150777.0,Hammerfest,"{""type"":""MultiPoint"",""coordinates"":[]}"
5684,621744.0,Sør-Varanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
5693,704418.0,Berlevåg,"{""type"":""MultiPoint"",""coordinates"":[]}"
5699,863394.0,Rødøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
5719,124539.0,Båtsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
5723,5842.0,Sunnfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
5732,601502.0,Kåfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
5743,263458.0,Valle,"{""type"":""MultiPoint"",""coordinates"":[]}"
5744,56649.0,Karlsøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
5780,891124.0,Storfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
