ord;species;L;F;R;N;S;HM;T;K;TRU
P;Carex montana;7;6;4;1;0;NA;NA;NA;NA
P;Carex muricata;7;4;6;4;0;NA;NA;NA;NA
P;Carex nigra;7;8;4;2;0;NA;NA;NA;NA
P;Carex norvegica;8;7;7;2;0;NA;NA;NA;NA
P;Carex ornithopoda;8;3;9;3;0;NA;NA;NA;NA
P;Carex otrubae;6;8;7;7;2;NA;NA;NA;NA
P;Carex leporina;7;7;5;4;0;NA;NA;NA;NA
P;Carex pallescens;6;6;5;4;0;NA;NA;NA;NA
P;Carex panicea;8;8;4;2;0;NA;NA;NA;NA
P;Carex paniculata;6;9;6;6;0;NA;NA;NA;NA
P;Carex pauciflora;8;9;1;1;0;NA;NA;NA;NA
P;Carex pendula;5;8;7;6;0;NA;NA;NA;NA
P;Carex pilulifera;7;5;3;2;0;NA;NA;NA;NA
P;Carex pseudocyperus;7;9;6;6;0;NA;NA;NA;NA
P;Carex pulicaris;8;7;5;2;0;NA;NA;NA;NA
P;Carex punctata;9;7;7;3;3;NA;NA;NA;NA
P;Carex rariflora;8;9;3;2;0;NA;NA;NA;NA
P;Carex recta;8;9;7;5;3;NA;NA;NA;NA
P;Carex remota;4;8;6;6;0;NA;NA;NA;NA
P;Carex riparia;7;8;7;7;0;NA;NA;NA;NA
P;Carex rostrata;8;10;4;2;0;NA;NA;NA;NA
P;Carex rupestris;8;4;7;2;0;NA;NA;NA;NA
P;Carex saxatilis;8;9;7;3;0;NA;NA;NA;NA
P;Carex spicata;7;6;6;4;0;NA;NA;NA;NA
P;Carex strigosa;3;8;7;6;0;NA;NA;NA;NA
P;Carex sylvatica;4;5;6;5;0;NA;NA;NA;NA
P;Carex vaginata;7;6;6;3;0;NA;NA;NA;NA
P;Carex vesicaria;8;10;5;4;0;NA;NA;NA;NA
P;Carex demissa;8;8;4;2;0;NA;NA;NA;NA
P;Carex viridula;8;8;6;2;0;NA;NA;NA;NA
P;Carex vulpina;7;9;8;6;0;NA;NA;NA;NA
P;Carlina vulgaris;8;4;7;2;0;NA;NA;NA;NA
P;Carpinus betulus;4;5;5;6;0;NA;NA;NA;NA
P;Carpobrotus edulis;9;3;4;5;3;NA;NA;NA;NA
P;Carum verticillatum;7;8;4;2;0;NA;NA;NA;NA
P;Castanea sativa;5;5;5;5;0;NA;NA;NA;NA
P;Catabrosa aquatica;8;9;7;7;1;NA;NA;NA;NA
P;Catapodium marinum;9;5;7;3;3;NA;NA;NA;NA
P;Catapodium rigidum;8;3;7;2;0;NA;NA;NA;NA
P;Centaurea calcitrapa;7;4;7;3;0;NA;NA;NA;NA
P;Centaurea cyanus;7;5;6;5;0;NA;NA;NA;NA
P;Centaurea nigra;7;5;6;5;0;NA;NA;NA;NA
P;Centaurea scabiosa;8;3;8;3;0;NA;NA;NA;NA
P;Centaurium erythraea;8;5;6;3;0;NA;NA;NA;NA
P;Centaurium littorale;9;7;8;3;1;NA;NA;NA;NA
P;Centaurium pulchellum;8;8;8;3;1;NA;NA;NA;NA
P;Centaurium scilloides;9;3;5;2;0;NA;NA;NA;NA
P;Centaurium tenuiflorum;8;6;7;4;0;NA;NA;NA;NA
P;Centranthus ruber;8;4;8;5;1;NA;NA;NA;NA
P;Cephalanthera damasonium;4;4;7;5;0;NA;NA;NA;NA
P;Cephalanthera longifolia;5;4;7;4;0;NA;NA;NA;NA
P;Cephalanthera rubra;4;3;8;4;0;NA;NA;NA;NA
P;Cerastium alpinum;9;5;6;2;0;NA;NA;NA;NA
P;Cerastium arcticum;7;6;4;2;0;NA;NA;NA;NA
P;Cerastium arvense;8;4;5;3;0;NA;NA;NA;NA
P;Cerastium brachypetalum;9;3;8;2;0;NA;NA;NA;NA
P;Cerastium cerastoides;8;8;5;4;0;NA;NA;NA;NA
P;Cerastium diffusum;9;4;6;3;1;NA;NA;NA;NA
P;Cerastium fontanum;7;5;5;4;0;NA;NA;NA;NA
P;Cerastium glomeratum;7;5;6;5;0;NA;NA;NA;NA
P;Cerastium nigrescens;9;3;5;1;0;NA;NA;NA;NA
P;Cerastium pumilum;8;2;8;1;0;NA;NA;NA;NA
P;Cerastium semidecandrum;8;3;6;3;0;NA;NA;NA;NA
P;Cerastium tomentosum;8;3;7;5;1;NA;NA;NA;NA
P;Ceratocapnos claviculata;5;5;4;5;0;NA;NA;NA;NA
P;Ceratophyllum demersum;7;12;7;7;1;NA;NA;NA;NA
P;Ceratophyllum submersum;7;12;8;8;2;NA;NA;NA;NA
P;Ceterach officinarum;7;3;8;1;0;NA;NA;NA;NA
P;Chaenorhinum minus;8;4;7;4;0;NA;NA;NA;NA
P;Chaerophyllum temulum;6;5;7;7;0;NA;NA;NA;NA
P;Chamaecyparis lawsoniana;5;5;6;4;0;NA;NA;NA;NA
P;Chamaemelum nobile;8;7;5;5;0;NA;NA;NA;NA
P;Chamaepericlymenum suecicum;6;6;1;2;0;NA;NA;NA;NA
P;Chamerion angustifolium;6;5;6;5;0;NA;NA;NA;NA
P;Chelidonium majus;6;5;8;7;0;NA;NA;NA;NA
P;Chenopodium album;7;5;7;7;1;NA;NA;NA;NA
P;Chenopodium bonus-henricus;8;5;7;8;0;NA;NA;NA;NA
P;Chenopodium chenopodioides;8;7;7;8;4;NA;NA;NA;NA
P;Chenopodium ficifolium;7;6;6;7;0;NA;NA;NA;NA
P;Chenopodium glaucum;8;6;7;9;3;NA;NA;NA;NA
P;Chenopodium hybridum;7;4;7;7;0;NA;NA;NA;NA
P;Chenopodium murale;8;6;6;7;0;NA;NA;NA;NA
P;Chenopodium polyspermum;7;6;7;8;0;NA;NA;NA;NA
P;Chenopodium rubrum;7;7;7;8;1;NA;NA;NA;NA
P;Chenopodium urbicum;7;5;7;7;0;NA;NA;NA;NA
P;Chenopodium vulvaria;7;4;7;9;0;NA;NA;NA;NA
P;Chrysanthemum segetum;7;5;6;5;0;NA;NA;NA;NA
P;Chrysosplenium alternifolium;5;8;6;6;0;NA;NA;NA;NA
P;Chrysosplenium oppositifolium;5;9;5;5;0;NA;NA;NA;NA
P;Cicendia filiformis;9;8;3;2;0;NA;NA;NA;NA
P;Cicerbita alpina;7;6;6;6;0;NA;NA;NA;NA
P;Cicerbita macrophylla;7;5;6;6;0;NA;NA;NA;NA
P;Cichorium intybus;8;4;7;5;0;NA;NA;NA;NA
P;Cicuta virosa;7;9;7;5;0;NA;NA;NA;NA
P;Circaea alpina;4;7;5;5;0;NA;NA;NA;NA
P;Circaea lutetiana;4;6;7;6;0;NA;NA;NA;NA
P;Circaea x intermedia;4;6;6;6;0;NA;NA;NA;NA
P;Cirsium acaule;9;4;8;3;0;NA;NA;NA;NA
P;Cirsium arvense;8;6;7;6;0;NA;NA;NA;NA
P;Cirsium dissectum;8;8;4;2;0;NA;NA;NA;NA
P;Cirsium eriophorum;8;4;8;5;0;NA;NA;NA;NA
P;Cirsium heterophyllum;7;6;6;5;0;NA;NA;NA;NA
P;Cirsium palustre;7;8;5;4;0;NA;NA;NA;NA
P;Cirsium tuberosum;8;6;8;3;0;NA;NA;NA;NA
P;Cirsium vulgare;7;5;6;6;0;NA;NA;NA;NA
P;Cladium mariscus;8;9;8;4;0;NA;NA;NA;NA
P;Claytonia perfoliata;6;6;5;5;0;NA;NA;NA;NA
P;Claytonia sibirica;5;7;6;6;0;NA;NA;NA;NA
