ord;species;L;F;R;N;S;HM;T;K;TRU
P;Polygonum arenastrum;7;5;7;6;0;NA;NA;NA;NA
P;Polygonum aviculare;7;5;6;7;0;NA;NA;NA;NA
P;Polygonum boreale;7;5;6;6;0;NA;NA;NA;NA
P;Polygonum maritimum;9;3;5;4;3;NA;NA;NA;NA
P;Polygonum oxyspermum;9;6;7;8;3;NA;NA;NA;NA
P;Polygonum rurivagum;8;4;8;5;0;NA;NA;NA;NA
P;Polypodium cambricum;6;5;7;3;0;NA;NA;NA;NA
P;Polypodium interjectum;5;5;5;3;0;NA;NA;NA;NA
P;Polypodium vulgare;5;5;4;3;0;NA;NA;NA;NA
P;Polypogon monspeliensis;8;8;7;6;3;NA;NA;NA;NA
P;Polystichum aculeatum;5;5;7;5;0;NA;NA;NA;NA
P;Polystichum lonchitis;6;5;7;3;0;NA;NA;NA;NA
P;Polystichum setiferum;4;5;5;6;0;NA;NA;NA;NA
P;Populus alba;6;6;7;6;0;NA;NA;NA;NA
P;Populus nigra;6;8;7;7;0;NA;NA;NA;NA
P;Populus tremula;6;5;5;6;0;NA;NA;NA;NA
P;Populus x canescens;6;6;6;5;0;NA;NA;NA;NA
P;Potamogeton acutifolius;7;12;7;6;0;NA;NA;NA;NA
P;Potamogeton alpinus;7;12;6;5;1;NA;NA;NA;NA
P;Potamogeton berchtoldii;7;12;6;5;0;NA;NA;NA;NA
P;Potamogeton coloratus;7;11;8;5;0;NA;NA;NA;NA
P;Potamogeton compressus;7;12;7;4;0;NA;NA;NA;NA
P;Potamogeton crispus;7;12;7;6;1;NA;NA;NA;NA
P;Potamogeton epihydrus;8;12;5;1;0;NA;NA;NA;NA
P;Stuckenia filiformis;7;12;7;5;1;NA;NA;NA;NA
P;Potamogeton friesii;7;12;7;5;0;NA;NA;NA;NA
P;Potamogeton gramineus;7;12;6;3;0;NA;NA;NA;NA
P;Potamogeton lucens;7;12;6;6;0;NA;NA;NA;NA
P;Potamogeton natans;7;11;6;4;0;NA;NA;NA;NA
P;Potamogeton nodosus;6;12;8;5;0;NA;NA;NA;NA
P;Potamogeton obtusifolius;7;12;6;5;0;NA;NA;NA;NA
P;Stuckenia pectinata;6;12;7;7;2;NA;NA;NA;NA
P;Potamogeton perfoliatus;7;12;6;5;1;NA;NA;NA;NA
P;Potamogeton polygonifolius;8;10;4;2;0;NA;NA;NA;NA
P;Potamogeton praelongus;7;12;7;5;1;NA;NA;NA;NA
P;Potamogeton pusillus;7;12;7;6;1;NA;NA;NA;NA
P;Potamogeton rutilus;7;12;7;5;0;NA;NA;NA;NA
P;Potamogeton trichoides;6;12;7;6;0;NA;NA;NA;NA
P;Potamogeton x nitens;7;12;6;5;1;NA;NA;NA;NA
P;Potamogeton x zizii;7;12;6;4;0;NA;NA;NA;NA
P;Potentilla anglica;7;5;5;5;0;NA;NA;NA;NA
P;Argentina anserina;8;7;7;6;2;NA;NA;NA;NA
P;Potentilla argentea;8;3;5;2;0;NA;NA;NA;NA
P;Potentilla crantzii;8;5;8;2;0;NA;NA;NA;NA
P;Potentilla erecta;7;7;3;2;0;NA;NA;NA;NA
P;Potentilla fruticosa;8;6;8;2;0;NA;NA;NA;NA
P;Potentilla tabernaemontani;7;3;8;1;0;NA;NA;NA;NA
P;Comarum palustre;8;10;5;3;0;NA;NA;NA;NA
P;Potentilla reptans;7;5;7;5;0;NA;NA;NA;NA
P;Drymocallis rupestris;7;4;6;2;0;NA;NA;NA;NA
P;Potentilla sterilis;5;5;5;5;0;NA;NA;NA;NA
P;Primula elatior;4;5;7;6;0;NA;NA;NA;NA
P;Primula farinosa;9;8;9;2;0;NA;NA;NA;NA
P;Primula scotica;9;4;7;2;1;NA;NA;NA;NA
P;Primula veris;7;4;7;3;0;NA;NA;NA;NA
P;Primula vulgaris;5;5;6;4;0;NA;NA;NA;NA
P;Prunella vulgaris;7;5;6;4;0;NA;NA;NA;NA
P;Prunus avium;4;5;6;6;0;NA;NA;NA;NA
P;Prunus cerasifera;6;5;7;6;0;NA;NA;NA;NA
P;Prunus cerasus;6;5;6;5;0;NA;NA;NA;NA
P;Prunus domestica;7;5;7;6;0;NA;NA;NA;NA
P;Prunus laurocerasus;4;6;5;6;0;NA;NA;NA;NA
P;Prunus padus;5;6;6;7;0;NA;NA;NA;NA
P;Prunus spinosa;6;5;7;6;1;NA;NA;NA;NA
P;Pseudofumaria lutea;6;6;8;5;0;NA;NA;NA;NA
P;Pseudorchis albida;8;5;6;2;0;NA;NA;NA;NA
P;Pseudotsuga menziesii;6;6;4;4;0;NA;NA;NA;NA
P;Pteridium aquilinum;6;5;3;3;0;NA;NA;NA;NA
P;Puccinellia capillaris;8;8;7;7;4;NA;NA;NA;NA
P;Puccinellia fasciculata;8;7;7;7;4;NA;NA;NA;NA
P;Puccinellia maritima;9;8;7;6;5;NA;NA;NA;NA
P;Puccinellia rupestris;9;7;7;5;5;NA;NA;NA;NA
P;Pulicaria dysenterica;7;7;7;4;0;NA;NA;NA;NA
P;Pulicaria vulgaris;9;8;6;7;0;NA;NA;NA;NA
P;Pulmonaria longifolia;6;4;6;5;0;NA;NA;NA;NA
P;Pulmonaria obscura;4;6;8;7;0;NA;NA;NA;NA
P;Pulsatilla vulgaris;7;3;8;3;0;NA;NA;NA;NA
P;Pyrola media;5;4;5;2;0;NA;NA;NA;NA
P;Pyrola minor;5;5;4;2;0;NA;NA;NA;NA
P;Pyrola rotundifolia;6;7;7;3;0;NA;NA;NA;NA
P;Pyrus communis;7;5;6;7;0;NA;NA;NA;NA
P;Pyrus cordata;6;5;5;4;0;NA;NA;NA;NA
P;Quercus cerris;6;4;6;6;0;NA;NA;NA;NA
P;Quercus ilex;6;3;7;4;1;NA;NA;NA;NA
P;Quercus petraea;6;6;3;4;0;NA;NA;NA;NA
P;Quercus robur;7;5;5;4;0;NA;NA;NA;NA
P;Radiola linoides;8;7;4;2;1;NA;NA;NA;NA
P;Ranunculus acris;7;6;6;4;0;NA;NA;NA;NA
P;Batrachium aquatile;7;10;7;5;0;NA;NA;NA;NA
P;Ranunculus arvensis;7;5;7;6;0;NA;NA;NA;NA
P;Ranunculus auricomus;6;7;6;5;0;NA;NA;NA;NA
P;Ranunculus baudotii;7;11;7;6;4;NA;NA;NA;NA
P;Ranunculus bulbosus;7;4;7;4;0;NA;NA;NA;NA
P;Ranunculus circinatus;7;12;7;7;0;NA;NA;NA;NA
P;Ranunculus ficaria;6;6;6;6;0;NA;NA;NA;NA
P;Ranunculus flammula;7;9;5;3;0;NA;NA;NA;NA
P;Ranunculus fluitans;7;12;7;6;0;NA;NA;NA;NA
P;Ranunculus hederaceus;7;9;5;5;0;NA;NA;NA;NA
P;Ranunculus lingua;7;10;6;7;0;NA;NA;NA;NA
P;Ranunculus muricatus;7;4;5;5;0;NA;NA;NA;NA
P;Ranunculus omiophyllus;7;9;5;4;0;NA;NA;NA;NA
P;Ranunculus ophioglossifolius;7;8;7;5;0;NA;NA;NA;NA
P;Ranunculus paludosus;8;7;6;3;0;NA;NA;NA;NA
P;Ranunculus parviflorus;7;5;6;5;0;NA;NA;NA;NA
P;Batrachium floribundum;7;11;5;6;0;NA;NA;NA;NA
P;Ranunculus penicillatus;7;12;8;5;0;NA;NA;NA;NA
P;Ranunculus repens;6;7;6;7;0;NA;NA;NA;NA
P;Ranunculus reptans;8;10;6;2;0;NA;NA;NA;NA
P;Ranunculus sardous;8;7;6;7;2;NA;NA;NA;NA
P;Ranunculus sceleratus;8;8;8;8;2;NA;NA;NA;NA
P;Batrachium trichophyllum;7;12;6;6;0;NA;NA;NA;NA
P;Ranunculus tripartitus;9;10;6;3;0;NA;NA;NA;NA
P;Raphanus maritimus;7;4;7;5;3;NA;NA;NA;NA
P;Raphanus raphanistrum;7;5;6;6;0;NA;NA;NA;NA
P;Reseda lutea;7;4;7;5;0;NA;NA;NA;NA
P;Reseda luteola;7;4;8;6;0;NA;NA;NA;NA
P;Rhamnus catharticus;7;5;7;6;0;NA;NA;NA;NA
P;Rhinanthus angustifolius;7;6;7;2;0;NA;NA;NA;NA
P;Rhinanthus minor;7;5;6;4;0;NA;NA;NA;NA
P;Rhododendron ponticum;5;5;3;3;0;NA;NA;NA;NA
P;Rhynchospora alba;8;9;2;1;0;NA;NA;NA;NA
P;Rhynchospora fusca;9;9;3;1;0;NA;NA;NA;NA
P;Ribes alpinum;5;5;8;6;0;NA;NA;NA;NA
P;Ribes nigrum;5;9;6;6;0;NA;NA;NA;NA
P;Ribes rubrum;5;7;7;6;0;NA;NA;NA;NA
P;Ribes spicatum;4;6;7;6;0;NA;NA;NA;NA
P;Ribes uva-crispa;5;5;7;6;0;NA;NA;NA;NA
P;Robinia pseudoacacia;7;4;6;6;0;NA;NA;NA;NA
P;Romulea columnae;9;4;5;2;0;NA;NA;NA;NA
P;Rorippa amphibia;8;10;7;8;0;NA;NA;NA;NA
P;Rorippa islandica;8;8;7;6;0;NA;NA;NA;NA
P;Rorippa microphylla;7;10;7;6;0;NA;NA;NA;NA
P;Rorippa nasturtium-aquaticum;7;10;7;7;0;NA;NA;NA;NA
P;Rorippa palustris;8;8;7;7;0;NA;NA;NA;NA
P;Rorippa sylvestris;8;8;7;7;0;NA;NA;NA;NA
P;Rosa agrestis;8;3;8;3;0;NA;NA;NA;NA
P;Rosa arvensis;6;4;7;5;0;NA;NA;NA;NA
P;Rosa caesia;8;3;7;3;0;NA;NA;NA;NA
P;Rosa canina;6;5;7;6;0;NA;NA;NA;NA
P;Rosa micrantha;6;3;7;3;0;NA;NA;NA;NA
P;Rosa mollis;5;5;7;4;0;NA;NA;NA;NA
P;Rosa obtusifolia;7;4;8;4;0;NA;NA;NA;NA
P;Rosa pimpinellifolia;8;3;6;3;0;NA;NA;NA;NA
P;Rosa rubiginosa;7;3;8;3;0;NA;NA;NA;NA
P;Rosa sherardii;6;5;6;4;0;NA;NA;NA;NA
P;Rosa stylosa;7;4;8;4;0;NA;NA;NA;NA
P;Rosa tomentosa;7;4;7;4;0;NA;NA;NA;NA
P;Rubia peregrina;6;4;8;5;0;NA;NA;NA;NA
P;Rubus caesius;7;7;7;6;0;NA;NA;NA;NA
P;Rubus chamaemorus;9;7;1;1;0;NA;NA;NA;NA
P;Rubus fruticosus;6;6;6;6;0;NA;NA;NA;NA
P;Rubus idaeus;6;5;5;5;0;NA;NA;NA;NA
P;Rubus saxatilis;7;5;7;4;0;NA;NA;NA;NA
P;Rubus spectabilis;6;6;5;5;0;NA;NA;NA;NA
P;Rumex acetosa;7;5;5;4;0;NA;NA;NA;NA
P;Rumex acetosella;7;5;4;3;0;NA;NA;NA;NA
P;Rumex aquaticus;7;8;7;7;0;NA;NA;NA;NA
P;Rumex conglomeratus;8;8;7;7;0;NA;NA;NA;NA
P;Rumex crispus;8;6;7;6;2;NA;NA;NA;NA
P;Rumex hydrolapathum;7;10;7;6;0;NA;NA;NA;NA
P;Rumex longifolius;7;6;7;7;0;NA;NA;NA;NA
P;Rumex maritimus;8;9;7;7;7;NA;NA;NA;NA
P;Rumex obtusifolius;7;5;7;9;0;NA;NA;NA;NA
P;Rumex palustris;7;8;7;8;0;NA;NA;NA;NA
P;Rumex pseudoalpinus;7;6;7;9;0;NA;NA;NA;NA
P;Rumex pulcher;7;6;7;7;0;NA;NA;NA;NA
P;Rumex rupestris;7;8;5;5;0;NA;NA;NA;NA
P;Rumex sanguineus;5;7;7;7;0;NA;NA;NA;NA
P;Ruppia cirrhosa;7;12;7;5;4;NA;NA;NA;NA
P;Ruppia maritima;9;11;8;8;4;NA;NA;NA;NA
P;Ruscus aculeatus;4;5;4;4;0;NA;NA;NA;NA
P;Sagina apetala;9;4;6;3;0;NA;NA;NA;NA
P;Sagina maritima;9;7;7;4;4;NA;NA;NA;NA
P;Sagina nivalis;8;7;8;1;0;NA;NA;NA;NA
P;Sagina nodosa;8;7;7;3;1;NA;NA;NA;NA
P;Sagina procumbens;7;6;6;5;1;NA;NA;NA;NA
P;Sagina saginoides;8;7;6;2;0;NA;NA;NA;NA
P;Sagina subulata;8;6;6;4;0;NA;NA;NA;NA
P;Sagittaria sagittifolia;7;11;7;6;0;NA;NA;NA;NA
P;Salicornia dolichostachya;9;8;8;6;9;NA;NA;NA;NA
P;Salicornia europaea;9;8;8;6;9;NA;NA;NA;NA
P;Salicornia fragilis;9;8;8;6;9;NA;NA;NA;NA
P;Salicornia nitens;9;7;8;6;9;NA;NA;NA;NA
P;Salicornia obscura;9;8;8;6;9;NA;NA;NA;NA
P;Salicornia pusilla;9;6;8;6;5;NA;NA;NA;NA
P;Salicornia ramosissima;9;7;8;5;9;NA;NA;NA;NA
P;Salix alba;6;7;8;8;0;NA;NA;NA;NA
P;Salix arbuscula;8;5;7;2;0;NA;NA;NA;NA
P;Salix aurita;7;8;4;3;0;NA;NA;NA;NA
P;Salix caprea;7;7;7;7;0;NA;NA;NA;NA
P;Salix cinerea;7;8;6;5;0;NA;NA;NA;NA
P;Salix fragilis;6;8;7;7;0;NA;NA;NA;NA
P;Salix herbacea;8;5;3;2;0;NA;NA;NA;NA
P;Salix lanata;8;6;7;3;0;NA;NA;NA;NA
P;Salix lapponum;8;6;6;3;0;NA;NA;NA;NA
P;Salix myrsinifolia;6;8;5;4;0;NA;NA;NA;NA
P;Salix myrsinites;8;5;6;2;0;NA;NA;NA;NA
P;Salix pentandra;7;8;6;4;0;NA;NA;NA;NA
P;Salix phylicifolia;7;8;5;4;0;NA;NA;NA;NA
P;Salix purpurea;8;9;7;5;0;NA;NA;NA;NA
P;Salix repens;8;7;6;3;0;NA;NA;NA;NA
P;Salix reticulata;7;6;8;3;0;NA;NA;NA;NA
P;Salix triandra;7;8;7;5;0;NA;NA;NA;NA
P;Salix viminalis;7;8;6;6;0;NA;NA;NA;NA
P;Salsola kali;9;6;7;8;3;NA;NA;NA;NA
P;Salvia pratensis;8;3;8;4;0;NA;NA;NA;NA
P;Salvia verbenaca;8;3;7;2;0;NA;NA;NA;NA
P;Sambucus ebulus;7;5;8;7;0;NA;NA;NA;NA
P;Sambucus nigra;6;5;7;7;0;NA;NA;NA;NA
P;Sambucus racemosa;6;5;6;7;0;NA;NA;NA;NA
P;Samolus valerandi;8;8;8;5;2;NA;NA;NA;NA
P;Sanguisorba minor;7;4;8;3;0;NA;NA;NA;NA
P;Sanguisorba officinalis;7;7;6;5;0;NA;NA;NA;NA
P;Sanicula europaea;4;5;7;5;0;NA;NA;NA;NA
P;Saponaria officinalis;8;5;6;6;0;NA;NA;NA;NA
P;Sarcocornia perennis;9;8;8;6;6;NA;NA;NA;NA
P;Saussurea alpina;8;6;6;3;0;NA;NA;NA;NA
P;Saxifraga aizoides;8;9;6;2;0;NA;NA;NA;NA
P;Saxifraga cernua;6;6;7;1;0;NA;NA;NA;NA
P;Saxifraga cespitosa;7;5;7;1;0;NA;NA;NA;NA
P;Saxifraga granulata;8;5;6;4;0;NA;NA;NA;NA
P;Saxifraga hirculus;8;9;6;2;0;NA;NA;NA;NA
P;Saxifraga hirsuta;6;7;5;2;0;NA;NA;NA;NA
P;Saxifraga hypnoides;7;5;6;3;0;NA;NA;NA;NA
P;Saxifraga nivalis;6;6;7;3;0;NA;NA;NA;NA
P;Saxifraga oppositifolia;8;6;8;2;0;NA;NA;NA;NA
P;Saxifraga rivularis;6;9;5;2;0;NA;NA;NA;NA
P;Saxifraga rosacea;7;4;8;4;0;NA;NA;NA;NA
P;Saxifraga spathularis;6;8;3;2;0;NA;NA;NA;NA
P;Saxifraga stellaris;8;8;5;3;0;NA;NA;NA;NA
P;Saxifraga tridactylites;7;2;7;2;0;NA;NA;NA;NA
P;Scabiosa columbaria;8;3;8;2;0;NA;NA;NA;NA
P;Scandix pecten-veneris;7;4;7;4;0;NA;NA;NA;NA
P;Schedonorus pratensis;7;6;6;6;0;NA;NA;NA;NA
P;Scheuchzeria palustris;9;10;3;1;0;NA;NA;NA;NA
P;Schoenoplectus lacustris;8;11;7;6;0;NA;NA;NA;NA
P;Schoenoplectus pungens;8;10;7;7;1;NA;NA;NA;NA
P;Schoenoplectus tabernaemontani;9;10;8;7;3;NA;NA;NA;NA
P;Schoenoplectus triqueter;8;10;7;7;3;NA;NA;NA;NA
P;Schoenus ferrugineus;8;9;7;2;0;NA;NA;NA;NA
P;Schoenus nigricans;8;8;7;2;0;NA;NA;NA;NA
P;Scilla autumnalis;9;3;6;1;0;NA;NA;NA;NA
P;Scirpoides holoschoenus;8;8;7;6;0;NA;NA;NA;NA
P;Scirpus sylvaticus;6;8;6;6;0;NA;NA;NA;NA
P;Scleranthus annuus;7;4;4;4;0;NA;NA;NA;NA
P;Scleranthus perennis;8;3;4;2;0;NA;NA;NA;NA
P;Scorzonera humilis;8;7;5;2;0;NA;NA;NA;NA
P;Scrophularia auriculata;7;8;7;7;0;NA;NA;NA;NA
P;Scrophularia nodosa;5;6;7;6;0;NA;NA;NA;NA
P;Scrophularia scorodonia;7;4;6;6;0;NA;NA;NA;NA
P;Scrophularia umbrosa;7;9;7;7;0;NA;NA;NA;NA
P;Scrophularia vernalis;5;5;7;7;0;NA;NA;NA;NA
P;Scutellaria galericulata;7;8;6;5;0;NA;NA;NA;NA
P;Scutellaria minor;7;9;4;2;0;NA;NA;NA;NA
P;Secale cereale;8;5;7;7;0;NA;NA;NA;NA
P;Sedum acre;8;2;7;2;1;NA;NA;NA;NA
P;Sedum album;8;3;6;2;0;NA;NA;NA;NA
P;Sedum anglicum;8;3;4;2;1;NA;NA;NA;NA
P;Sedum forsterianum;7;3;5;1;0;NA;NA;NA;NA
P;Rhodiola rosea;7;6;6;3;0;NA;NA;NA;NA
P;Sedum rupestre;7;2;5;4;0;NA;NA;NA;NA
P;Hylotelephium maximum;7;5;7;5;1;NA;NA;NA;NA
P;Sedum villosum;8;9;6;2;0;NA;NA;NA;NA
P;Selaginella selaginoides;8;7;6;2;0;NA;NA;NA;NA
P;Selinum carvifolia;7;7;8;4;0;NA;NA;NA;NA
P;Sempervivum tectorum;8;2;4;1;0;NA;NA;NA;NA
P;Senecio aquaticus;7;8;6;5;0;NA;NA;NA;NA
P;Senecio cambrensis;8;5;7;7;0;NA;NA;NA;NA
P;Senecio cineraria;9;3;7;3;3;NA;NA;NA;NA
P;Senecio erucifolius;7;5;7;5;0;NA;NA;NA;NA
P;Senecio fluviatilis;7;8;6;7;0;NA;NA;NA;NA
P;Senecio jacobaea;7;4;6;4;0;NA;NA;NA;NA
P;Senecio paludosus;7;9;7;6;0;NA;NA;NA;NA
P;Senecio smithii;8;7;6;7;0;NA;NA;NA;NA
P;Senecio squalidus;8;4;7;7;0;NA;NA;NA;NA
P;Senecio sylvaticus;7;5;5;6;0;NA;NA;NA;NA
P;Senecio viscosus;8;5;7;6;1;NA;NA;NA;NA
P;Senecio vulgaris;7;5;7;7;0;NA;NA;NA;NA
P;Seriphidium maritimum;9;7;8;6;5;NA;NA;NA;NA
P;Serratula tinctoria;7;6;6;2;0;NA;NA;NA;NA
P;Seseli libanotis;7;4;8;3;0;NA;NA;NA;NA
P;Sesleria caerulea;7;6;8;2;0;NA;NA;NA;NA
P;Sherardia arvensis;7;4;6;4;0;NA;NA;NA;NA
P;Sibbaldia procumbens;8;5;4;3;0;NA;NA;NA;NA
P;Sibthorpia europaea;5;7;5;5;0;NA;NA;NA;NA
P;Silaum silaus;8;5;7;4;0;NA;NA;NA;NA
P;Silene acaulis;8;5;6;1;0;NA;NA;NA;NA
P;Silene conica;8;3;4;2;0;NA;NA;NA;NA
P;Silene dioica;5;6;6;7;0;NA;NA;NA;NA
P;Silene gallica;7;4;5;5;0;NA;NA;NA;NA
P;Silene latifolia;7;4;7;6;0;NA;NA;NA;NA
P;Silene noctiflora;7;4;7;6;0;NA;NA;NA;NA
P;Silene nutans;8;3;8;4;0;NA;NA;NA;NA
P;Silene otites;8;3;7;2;0;NA;NA;NA;NA
P;Silene uniflora;8;6;6;4;3;NA;NA;NA;NA
P;Silene vulgaris;7;4;8;5;0;NA;NA;NA;NA
P;Silybum marianum;8;4;8;6;1;NA;NA;NA;NA
P;Simethis planifolia;7;5;4;3;0;NA;NA;NA;NA
P;Sinapis alba;7;4;7;6;0;NA;NA;NA;NA
P;Sinapis arvensis;8;5;7;7;0;NA;NA;NA;NA
P;Sison amomum;7;4;7;5;0;NA;NA;NA;NA
P;Sisymbrium altissimum;8;5;6;4;0;NA;NA;NA;NA
P;Sisymbrium officinale;7;4;7;7;0;NA;NA;NA;NA
P;Sisymbrium orientale;7;4;7;5;0;NA;NA;NA;NA
P;Sisyrinchium bermudiana;8;8;6;3;0;NA;NA;NA;NA
P;Sium latifolium;7;10;7;7;0;NA;NA;NA;NA
P;Smyrnium olusatrum;7;5;7;7;0;NA;NA;NA;NA
P;Solanum dulcamara;7;8;7;7;0;NA;NA;NA;NA
P;Solanum nigrum;7;5;7;8;0;NA;NA;NA;NA
P;Solanum sarachoides;7;4;7;7;0;NA;NA;NA;NA
P;Solanum tuberosum;7;4;6;7;0;NA;NA;NA;NA
P;Soleirolia soleirolii;4;8;7;6;0;NA;NA;NA;NA
P;Solidago canadensis;8;5;6;6;0;NA;NA;NA;NA
P;Solidago gigantea;8;5;5;6;0;NA;NA;NA;NA
P;Solidago virgaurea;5;5;4;3;0;NA;NA;NA;NA
P;Sonchus arvensis;8;6;7;6;1;NA;NA;NA;NA
P;Sonchus asper;7;5;7;6;0;NA;NA;NA;NA
P;Sonchus oleraceus;7;5;7;7;0;NA;NA;NA;NA
P;Sonchus palustris;7;8;7;7;1;NA;NA;NA;NA
P;Sorbus anglica;6;4;8;4;0;NA;NA;NA;NA
P;Sorbus aria;6;4;7;4;0;NA;NA;NA;NA
P;Sorbus arranensis;7;4;4;3;0;NA;NA;NA;NA
P;Sorbus aucuparia;6;6;3;4;0;NA;NA;NA;NA
P;Sorbus bristoliensis;6;4;8;4;0;NA;NA;NA;NA
P;Sorbus devoniensis;6;5;6;5;0;NA;NA;NA;NA
P;Sorbus domestica;6;4;8;3;0;NA;NA;NA;NA
P;Sorbus eminens;6;5;7;5;0;NA;NA;NA;NA
P;Sorbus hibernica;6;5;7;5;0;NA;NA;NA;NA
P;Sorbus intermedia;6;6;8;7;0;NA;NA;NA;NA
P;Sorbus lancastriensis;8;4;7;3;0;NA;NA;NA;NA
P;Sorbus leptophylla;5;5;7;5;0;NA;NA;NA;NA
P;Sorbus leyana;7;5;8;4;0;NA;NA;NA;NA
P;Sorbus minima;6;4;8;3;0;NA;NA;NA;NA
P;Sorbus porrigentiformis;7;5;7;5;0;NA;NA;NA;NA
P;Sorbus pseudofennica;7;4;4;3;0;NA;NA;NA;NA
P;Sorbus rupicola;8;4;7;3;0;NA;NA;NA;NA
P;Sorbus subcuneata;6;5;4;4;0;NA;NA;NA;NA
P;Sorbus torminalis;4;5;6;5;0;NA;NA;NA;NA
P;Sorbus vexans;6;5;4;4;0;NA;NA;NA;NA
P;Sorbus wilmottiana;6;4;8;3;0;NA;NA;NA;NA
P;Sparganium angustifolium;8;11;4;2;0;NA;NA;NA;NA
P;Sparganium emersum;7;11;7;6;0;NA;NA;NA;NA
P;Sparganium erectum;7;10;7;7;0;NA;NA;NA;NA
P;Sparganium natans;7;11;6;3;0;NA;NA;NA;NA
P;Spartina alterniflora;9;10;8;7;7;NA;NA;NA;NA
P;Spartina anglica;9;9;8;6;7;NA;NA;NA;NA
P;Spartina maritima;9;9;8;5;6;NA;NA;NA;NA
P;Spergula arvensis;7;4;5;5;0;NA;NA;NA;NA
P;Spergularia bocconei;9;4;6;7;0;NA;NA;NA;NA
P;Spergularia salina;8;8;8;6;5;NA;NA;NA;NA
P;Spergularia media;8;8;8;5;5;NA;NA;NA;NA
P;Spergularia rubra;8;3;4;2;0;NA;NA;NA;NA
P;Spergularia rupicola;9;6;6;5;3;NA;NA;NA;NA
P;Spiranthes romanzoffiana;8;8;6;4;0;NA;NA;NA;NA
P;Spiranthes spiralis;8;4;6;3;0;NA;NA;NA;NA
P;Spirodela polyrrhiza;7;11;7;7;1;NA;NA;NA;NA
P;Stachys alpina;7;5;8;7;0;NA;NA;NA;NA
P;Stachys arvensis;8;5;5;5;0;NA;NA;NA;NA
P;Stachys germanica;7;3;8;5;0;NA;NA;NA;NA
P;Stachys officinalis;7;5;5;3;0;NA;NA;NA;NA
P;Stachys palustris;7;8;7;7;0;NA;NA;NA;NA
P;Stachys sylvatica;6;6;7;8;0;NA;NA;NA;NA
P;Stachys x ambigua;7;6;6;6;1;NA;NA;NA;NA
P;Stellaria graminea;7;6;5;4;0;NA;NA;NA;NA
P;Stellaria holostoma;5;5;6;6;0;NA;NA;NA;NA
P;Stellaria media;7;5;6;7;0;NA;NA;NA;NA
P;Stellaria neglecta;6;7;6;7;0;NA;NA;NA;NA
P;Stellaria nemorum;4;6;6;7;0;NA;NA;NA;NA
P;Stellaria pallida;7;4;4;4;0;NA;NA;NA;NA
P;Stellaria palustris;7;8;6;4;0;NA;NA;NA;NA
P;Stellaria alsine;7;8;5;5;0;NA;NA;NA;NA
P;Stratiotes aloides;7;11;7;6;1;NA;NA;NA;NA
P;Suaeda maritima;9;8;8;6;7;NA;NA;NA;NA
P;Suaeda vera;9;7;8;5;5;NA;NA;NA;NA
P;Subularia aquatica;7;11;5;2;0;NA;NA;NA;NA
P;Succisa pratensis;7;7;5;2;0;NA;NA;NA;NA
P;Swida sanguinea;7;5;7;6;0;NA;NA;NA;NA
P;Swida sericea;6;7;5;6;0;NA;NA;NA;NA
P;Symphoricarpos albus;5;5;6;7;0;NA;NA;NA;NA
P;Symphyotrichum lanceolatum;7;5;7;6;1;NA;NA;NA;NA
P;Symphyotrichum novi-belgii;7;6;7;6;1;NA;NA;NA;NA
P;Symphytum officinale;7;7;7;8;0;NA;NA;NA;NA
P;Symphytum orientale;6;4;7;6;0;NA;NA;NA;NA
P;Symphytum tuberosum;6;6;6;6;0;NA;NA;NA;NA
P;Symphytum uplandicum;6;5;7;7;0;NA;NA;NA;NA
P;Syringa vulgaris;6;5;6;5;0;NA;NA;NA;NA
P;Tamus communis;6;5;7;6;0;NA;NA;NA;NA
P;Tanacetum parthenium;7;4;7;6;0;NA;NA;NA;NA
P;Tanacetum vulgare;7;6;7;7;0;NA;NA;NA;NA
P;Taraxacum officinale;7;5;7;6;1;NA;NA;NA;NA
P;Taxus baccata;4;4;7;5;0;NA;NA;NA;NA
P;Teesdalia nudicaulis;8;3;2;2;0;NA;NA;NA;NA
P;Tellima grandiflora;3;8;6;4;0;NA;NA;NA;NA
P;Tephroseris integrifolia;7;3;8;3;0;NA;NA;NA;NA
P;Teucrium botrys;9;2;8;2;0;NA;NA;NA;NA
P;Teucrium chamaedrys;8;2;8;1;0;NA;NA;NA;NA
P;Teucrium scordium;7;8;8;4;1;NA;NA;NA;NA
P;Teucrium scorodonia;6;4;4;3;0;NA;NA;NA;NA
P;Thalictrum alpinum;8;7;6;3;0;NA;NA;NA;NA
P;Thalictrum flavum;7;8;7;5;0;NA;NA;NA;NA
P;Thalictrum minus;7;4;6;3;0;NA;NA;NA;NA
P;Thelypteris palustris;6;8;7;5;0;NA;NA;NA;NA
P;Thesium humifusum;8;3;8;3;0;NA;NA;NA;NA
P;Thlaspi arvense;7;4;7;6;0;NA;NA;NA;NA
P;Thlaspi perfoliatum;8;4;8;2;0;NA;NA;NA;NA
P;Thuja plicata;4;5;5;4;0;NA;NA;NA;NA
P;Thymus polytrichus;8;4;6;2;0;NA;NA;NA;NA
P;Thymus pulegioides;8;4;8;2;0;NA;NA;NA;NA
P;Thymus serpyllum;8;2;5;2;0;NA;NA;NA;NA
P;Tilia cordata;5;5;6;5;0;NA;NA;NA;NA
P;Tilia platyphyllos;4;5;7;6;0;NA;NA;NA;NA
