Scientific_name	Family	Svenskt_namn	Dyntaxa_ID_number	Establishment	Red-listed	Time_of_immigration	Index_of_invasive_concern	Biodiversity_relevance	Nectar_production	Heat_requirement	Cold_requirement	Temp_optimum	Continentality	Light	Moisture	Soil_reaction_pH	Nitrogen	Phosphorus	Salinity	Grazing_mowing	Soil_disturbance	Longevity	Pollinator_dependence	Phenology	Extreme_phenology	Seed_dormancy	Seed_bank	Seed_disperser	Nitrogen_fixation	Photosynthetic_pathway	Mycorrhiza	Carnivory	Parasitism
Carex simpliciuscula Wahlenb.	Cyperaceae	fleraxig sävstarr	222548	Resident	Not Red-listed	0	0	1	1	3	16	16		7	7	8	2	2	1		3	4	0b					Passive	0	C3	None	0	0
Carex spicata Huds.	Cyperaceae	piggstarr	222372	Resident	Not Red-listed	0	0	4	1	10	3	5	5	6	3	7	4	4	1	4	6	4	0b	7	2		3	Passive	0	C3	None	0	0
Carex sylvatica Huds.	Cyperaceae	skogsstarr	222375	Resident	Not Red-listed	0	0	4	1	10	3	5	3	3	7	6	7	3	1	3	4	4	0b	8	1	2	3	Water	0	C3	None	0	0
Carex tenuiflora Wahlenb.	Cyperaceae	tågstarr	270	Resident	Not Red-listed	0	0	4	1	5	13	14	8	4	7	5	5	3	1	3	6	4	0b				2	Water	0	C3	None	0	0
Carex tomentosa L.	Cyperaceae	luddstarr	222377	Resident	Not Red-listed	0	0	4	1	11	4	6	7	4	5	7	4	3	2	3	3	4	0b				3	Passive	0	C3	None	0	0
Carex vacillans Drejer	Cyperaceae	saltstarr	271	Resident	NT	0	0	4	1	8	8	10	3	7	9	7		3	5	3		4	0b					Water	0	C3	None	0	0
Carex vaginata Tausch	Cyperaceae	slidstarr	222380	Resident	Not Red-listed	0	0	4	1	2	8	13	5	4	7	5	5	3	2	5	2	4	0b	7	2		1	Water	0	C3	None	0	0
Carex vesicaria L.	Cyperaceae	blåsstarr	222381	Resident	Not Red-listed	0	0	5	1	4	4	9	7	4	9	6	5	3	1	4	2	4	0b	7	2		3	Water	0	C3	None	0	0
Carex vulpina L.	Cyperaceae	rävstarr	222383	Resident	Not Red-listed	0	0	4	1	9	5	8	7	5	10	7	6	3	2	3	6	4	0b	8	1		2	Water	0	C3	None	0	0
Carex x saamica	Cyperaceae	mörk flasktarr	230982	Resident	Not Red-listed	0	0	4	1	3	9	12	6	6	9	3	3	3	1	3	3	4	0b					Water	0	C3	None	0	0
Carlina acaulis L.	Asteraceae	silvertistel	222384	Resident	Not Red-listed	6	12	2	6	12	3	4		7	3	6	4	3	1	4		4	2	13	6	2	1	AirP	0	C3	AM	0	0
