"","OBJECTID","SSBID","ANOID","RSIZE","ROW","COL","XCOOR","YCOOR","ANONUM","PakkeNr","Overvåkingsår","CountyNr","MunicNr","CountyName","Region.x","RegionNr","Kommune_OLD","Kommune","Fylke","Region.y","refs_blabar"
"186",960,22665006656000,"ANO0518",500,747,476,266750,6656250,518,3,2020,3,301,"Oslo nor","E",5,301,"OSLO","Oslo","Østlandet",12.5
"187",44,24650007274000,"ANO0520",500,1144,1712,465250,7274250,520,1,2020,18,1826,"Nordland nor","N",1,1826,"HATTFJELLDAL","Nordland","Nord-Norge",10
"188",451,21515006943000,"ANO0524",500,517,1050,151750,6943250,524,2,2020,15,1506,"Møre og Romsdal  nor","C",2,1502,"MOLDE","Møre_og_Romsdal","Midt-Norge",12.5
"189",451,21515006943000,"ANO0524",500,517,1050,151750,6943250,524,2,2020,15,1506,"Møre og Romsdal  nor","C",2,1543,"NESSET","Møre_og_Romsdal","Midt-Norge",12.5
"190",451,21515006943000,"ANO0524",500,517,1050,151750,6943250,524,2,2020,15,1506,"Møre og Romsdal  nor","C",2,1545,"MIDSUND","Møre_og_Romsdal","Midt-Norge",12.5
"191",67,24775007298500,"ANO0528",500,1169,1761,477750,7298750,528,1,2020,18,1826,"Nordland nor","N",1,1826,"HATTFJELLDAL","Nordland","Nord-Norge",10
"192",956,23050006844500,"ANO0531",500,824,853,305250,6844750,531,3,2020,4,3424,"Hedmark nor","E",5,432,"RENDALEN","Hedmark","Østlandet",10
"193",884,23035006707000,"ANO0534",500,821,578,303750,6707250,534,3,2020,4,3414,"Hedmark nor","E",5,418,"NORD-ODAL","Hedmark","Østlandet",12.5
"194",676,22315006978500,"ANO0535",500,677,1121,231750,6978750,535,2,2020,50,5022,"Trøndelag nor","C",2,1635,"RENNEBU","Sør-Trøndelag","Midt-Norge",12.5
"195",727,22160006808000,"ANO0536",500,646,780,216250,6808250,536,3,2020,5,3441,"Oppland nor","E",5,522,"GAUSDAL","Oppland","Østlandet",12.5
